"Fahrzeug";"Beleg";"Zeitpunkt";"Buchungsart";"Zahlungsmittel";"Belegtext";"Gesamt";"10%";"20%";"Fahrtkosten";"Trinkgeld";"Umsatz";"Durchläufer";"Taxameterumsatz";"Status";"Bemerkung"
"585BTX ";" 0218";"20.05.2025 13:47";"Barbeleg";"  ";"Personenfahrt";"24,00";"2,18";;"21,82";;"24,00";;;"SIGNIERT Gespeichert ";""
"585BTX ";" 0219";"21.05.2025 09:30";"Barbeleg";"  ";"Personenfahrt";"30,00";"2,73";;"27,27";;"30,00";;;"SIGNIERT Gespeichert ";""
"585BTX ";" 0220";"21.05.2025 09:32";"Pinpad-Zahlung";"Pinpad MasterCard 781246";"Personenfahrt";"28,00";"2,55";;"25,45";;"28,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0221";"21.05.2025 11:55";"Pinpad-Zahlung";"Pinpad VISA 142919";"Personenfahrt";"26,00";"2,36";;"23,64";;"26,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0222";"22.05.2025 12:14";"Pinpad-Zahlung";"Pinpad BanContact A964EB";"Personenfahrt";"54,20";"4,93";;"49,27";;"54,20";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0223";"22.05.2025 15:37";"Pinpad-Zahlung";"Pinpad VISA 059029";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0224";"22.05.2025 19:27";"Pinpad-Zahlung";"Pinpad VISA 148619";"Personenfahrt";"18,00";"1,64";;"16,36";;"18,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0225";"23.05.2025 09:50";"Pinpad-Zahlung";"Pinpad MasterCard 335410";"Personenfahrt";"18,20";"1,65";;"16,55";;"18,20";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0226";"23.05.2025 10:18";"Pinpad-Zahlung";"Pinpad MasterCard 933000";"Personenfahrt";"22,00";"2,00";;"20,00";;"22,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0227";"23.05.2025 13:16";"Barbeleg";"  ";"Personenfahrt";"15,20";"1,38";;"13,82";;"15,20";;;"SIGNIERT Gespeichert ";""
"585BTX ";" 0228";"23.05.2025 20:36";"Barbeleg";"  ";"Personenfahrt";"4247,00";"386,09";;"3860,91";;"4247,00";;;"SIGNIERT Storniert 26.05.25 19:37";"Falsche Eingabe"
"585BTX ";" 0229";"23.05.2025 20:37";"PaymentService-Zahlung";"APP-PAYMENT 4010P1885862";"Personenfahrt";"47,00";"4,27";;"42,73";;"47,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0230";"23.05.2025 22:02";"PaymentService-Zahlung";"APP-PAYMENT 4010V1885870";"Personenfahrt";"32,10";"2,92";;"29,18";;"32,10";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0231";"24.05.2025 11:48";"Pinpad-Zahlung";"Pinpad MasterCard 285091";"Personenfahrt";"33,00";"3,00";;"30,00";;"33,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0232";"24.05.2025 15:05";"Pinpad-Zahlung";"Pinpad MasterCard 321363";"Personenfahrt";"20,00";"1,82";;"18,18";;"20,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0233";"25.05.2025 11:22";"Pinpad-Zahlung";"Pinpad MasterCard 699941";"Personenfahrt";"14,00";"1,27";;"12,73";;"14,00";;;"SIGNIERT Exportiert ";""
"585BTX ";" 0234";"25.05.2025 14:56";"Pinpad-Zahlung";"Pinpad AMERICAN EXPRESS 553769";"Personenfahrt";"63,00";"5,73";;"57,27";;"63,00";;;"SIGNIERT Exportiert ";""
"577BTX ";" 0305";"20.05.2025 11:36";"Barbeleg";"  ";"Personenfahrt";"15,00";"1,36";;"13,64";;"15,00";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0306";"20.05.2025 13:40";"Barbeleg";"  ";"Personenfahrt";"6,20";"0,56";;"5,64";;"6,20";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0307";"20.05.2025 17:59";"Pinpad-Zahlung";"Pinpad MasterCard 381275";"Personenfahrt";"25,00";"1,84";;"18,36";"4,80";"25,00";;;"SIGNIERT Exportiert ";""
"577BTX ";" 0308";"20.05.2025 18:53";"Barbeleg";"  ";"Personenfahrt";"30,00";"2,35";;"23,45";"4,20";"30,00";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0309";"21.05.2025 05:05";"Pinpad-Zahlung";"Pinpad MasterCard 642567";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Exportiert ";""
"577BTX ";" 0310";"21.05.2025 10:01";"Barbeleg";"  ";"Personenfahrt";"30,60";"2,78";;"27,82";;"30,60";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0311";"21.05.2025 23:23";"Pinpad-Zahlung";"Pinpad AMERICAN EXPRESS 811349";"Personenfahrt";"15,00";"1,17";;"11,73";"2,10";"15,00";;;"SIGNIERT Exportiert ";""
"577BTX ";" 0312";"23.05.2025 15:30";"Barbeleg";"  ";"Personenfahrt";"24,60";"2,24";;"22,36";;"24,60";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0313";"23.05.2025 20:53";"Barbeleg";"  ";"Personenfahrt";"14,90";"1,35";;"13,55";;"14,90";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0314";"23.05.2025 20:54";"Barbeleg";"  ";"Personenfahrt";"21,60";"0,98";;"9,82";"10,80";"21,60";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0315";"24.05.2025 17:09";"Barbeleg";"  ";"Personenfahrt";"9,80";"0,89";;"8,91";;"9,80";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0316";"25.05.2025 01:49";"Barbeleg";"  ";"Personenfahrt";"6,20";"0,56";;"5,64";;"6,20";;;"SIGNIERT Gespeichert ";""
"577BTX ";" 0317";"25.05.2025 03:23";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0806";"19.05.2025 00:21";"Pinpad-Zahlung";"Pinpad MASTERCARD 217279-129070";"Personenfahrt";"25,00";"2,27";;"22,73";;"25,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0807";"19.05.2025 00:27";"Barbeleg";"  ";"Personenfahrt";"17,00";"1,55";;"15,45";;"17,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0808";"19.05.2025 00:50";"Barbeleg";"  ";"Personenfahrt";"10,20";"0,93";;"9,27";;"10,20";;;"SIGNIERT Gespeichert ";""
