Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
6667,KW17,703.5,394.0,0.0,0.0,40100
6667,KW18,666.7,300.0,0.0,0.0,40100
6667,KW19,832.4,402.87,3.37,3.37,40100
6667,KW20,935.3,207.3,0.0,0.0,40100
6667,KW21,2093.7,438.99,4.19,4.19,40100
700,KW09,168.4,177.0,25.0,22.0,40100
700,KW10,399.4,656.3,41.0,30.0,40100
700,KW11,371.0,684.8,20.0,17.0,40100
700,KW12,551.8,792.5,27.0,16.0,40100
700,KW13,545.4,617.2,12.0,5.0,40100
700,KW14,739.6,668.2,25.0,19.0,40100
700,KW15,588.4,577.2,33.6,28.6,40100
700,KW16,528.0,547.0,17.0,14.0,40100
700,KW17,523.6,451.0,29.0,26.0,40100
700,KW18,247.2,319.67,5.57,5.57,40100
700,KW19,420.1,510.24,8.94,7.34,40100
700,KW20,463.6,228.3,0.2,0.0,40100
700,KW21,392.1,153.2,0.0,0.0,40100
7846,KW09,148.1,75.2,3.0,3.0,40100
7846,KW10,476.0,411.86,17.26,16.46,40100
7846,KW11,527.4,385.28,18.58,8.98,40100
7846,KW12,535.4,274.99,24.69,15.89,40100
7846,KW13,592.2,340.3,36.0,33.0,40100
7846,KW14,516.0,438.21,22.51,13.61,40100
7846,KW15,624.1,381.51,35.51,21.51,40100
7846,KW16,651.6,430.04,19.24,12.24,40100
7846,KW17,505.9,205.5,12.2,10.3,40100
7846,KW18,461.5,145.92,19.42,9.82,40100
7846,KW19,527.7,472.97,15.67,14.07,40100
7846,KW20,430.3,76.58,6.98,3.18,40100
7846,KW21,401.3,325.1,17.6,10.6,40100
8464,KW09,95.3,87.0,3.0,3.0,40100
8464,KW10,487.4,571.1,20.5,12.5,40100
8464,KW11,274.6,161.6,5.6,3.2,40100
8464,KW12,699.1,211.6,4.0,3.0,40100
8464,KW13,673.4,453.9,13.8,2.6,40100
8464,KW14,505.1,409.3,8.8,7.6,40100
8464,KW15,481.0,386.2,4.3,0.0,40100
8464,KW16,498.1,159.0,5.6,1.4,40100
8464,KW17,484.6,228.8,24.0,13.0,40100
8464,KW18,512.1,404.65,9.65,6.65,40100
8464,KW19,539.4,333.3,39.0,39.0,40100
8464,KW20,285.8,321.4,9.6,9.6,40100
8464,KW21,461.6,203.5,1.8,0.0,40100
9046,KW09,66.4,118.5,1.6,1.6,40100
9046,KW10,745.7,310.8,4.8,4.8,40100
9046,KW11,708.7,370.1,18.7,14.9,40100
9046,KW12,652.7,268.4,23.2,10.6,40100
9046,KW13,610.4,343.5,15.2,13.6,40100
9046,KW14,894.6,390.2,16.2,16.2,40100
9046,KW15,659.8,466.2,11.2,10.2,40100
9046,KW16,649.6,399.0,9.4,9.4,40100
9046,KW17,696.4,533.9,15.0,15.0,40100
9046,KW18,827.4,428.1,24.9,19.3,40100
9046,KW19,695.4,406.7,3.8,3.8,40100
9046,KW20,1224.2,227.4,12.8,12.8,40100
9046,KW21,835.6,476.5,19.0,19.0,40100
9828,KW09,55.0,35.2,0.0,0.0,40100
9828,KW10,233.7,229.7,0.0,0.0,40100
9828,KW11,297.9,235.0,0.0,0.0,40100
9828,KW12,316.4,65.6,0.0,0.0,40100
9828,KW13,454.8,85.8,0.0,0.0,40100
9828,KW14,331.0,238.8,0.0,0.0,40100
9828,KW15,294.8,198.5,0.0,0.0,40100
9828,KW16,384.0,135.2,0.0,0.0,40100
9828,KW17,337.8,169.2,0.0,0.0,40100
9828,KW18,289.2,193.9,0.0,0.0,40100
9828,KW19,650.8,123.0,0.0,0.0,40100
9828,KW20,247.6,233.0,0.0,0.0,40100
9828,KW21,382.8,165.6,0.0,0.0,40100
9892,KW09,58.9,52.9,0.0,0.0,40100
9892,KW10,62.7,104.0,0.7,0.4,40100
9892,KW11,419.3,111.7,21.0,1.0,40100
9892,KW12,534.0,285.8,13.4,10.9,40100
9892,KW14,0.0,0.0,0.0,0.0,40100
9892,KW15,121.9,100.3,2.6,2.6,40100
9892,KW16,360.5,165.0,9.6,2.6,40100
9892,KW17,335.3,78.4,4.4,4.0,40100
9892,KW18,97.1,67.0,4.4,3.0,40100
9892,KW19,358.0,66.8,8.0,3.0,40100
9892,KW20,267.3,339.0,3.0,3.0,40100
9892,KW21,502.3,134.7,8.0,8.0,40100
