Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
135CTX,KW24,536.5,347.0,883.5,19.7,9.8,40100
432ATX,KW24,417.4,612.5,1029.9,14.7,14.7,40100
4517,KW24,757.0,368.2,1125.2,12.0,7.8,40100
484,KW24,786.6,415.75,1202.35,66.25,35.75,40100
577BTX,KW24,148.6,255.5,404.1,3.0,3.0,40100
585BTX,KW24,115.8,405.1,520.9,1.8,1.8,40100
590BTX,KW24,172.0,568.4,740.4,0.4,0.4,40100
594BTX,KW24,67.9,0.0,67.9,0.0,0.0,40100
6667,KW24,691.5,446.0,1137.5,2.1,2.1,40100
700,KW24,488.0,1015.94,1503.94,4.44,3.54,40100
7846,KW24,682.1,242.0,924.1,9.2,2.2,40100
8464,KW24,649.1,305.8,954.9,16.2,6.6,40100
9046,KW24,702.1,396.6,1098.7,15.6,15.6,40100
9828,KW24,326.0,216.2,542.2,0.0,0.0,40100
9892,KW24,190.8,261.3,452.1,10.4,9.0,40100
