Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
135CTX,KW21,779.8,264.2,1044.0,27.0,14.8,40100
432ATX,KW21,535.4,365.95,901.35,20.75,20.75,40100
4517,KW21,670.3,365.54,1035.84,22.74,22.74,40100
484,KW21,954.0,620.5,1574.5,22.9,13.1,40100
577BTX,KW21,200.9,97.8,298.7,21.9,6.9,40100
585BTX,KW21,129.7,435.9,565.6,0.0,0.0,40100
590BTX,KW21,229.7,830.2,1059.9,0.0,0.0,40100
594BTX,KW21,16.0,0.0,16.0,0.0,0.0,40100
595BTX,KW21,11.0,0.0,11.0,0.0,0.0,40100
6667,KW21,673.7,438.99,1112.69,4.19,4.19,40100
700,KW21,392.1,153.2,545.3,0.0,0.0,40100
7846,KW21,401.3,325.1,726.4,17.6,10.6,40100
8464,KW21,461.6,203.5,665.1,1.8,0.0,40100
9046,KW21,835.6,476.5,1312.1,19.0,19.0,40100
9828,KW21,382.8,165.6,548.4,0.0,0.0,40100
9892,KW21,502.3,134.7,637.0,8.0,8.0,40100
