Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
135CTX,KW22,394.28,185.4,579.68,13.28,0.0,40100
432ATX,KW22,483.1,223.8,706.9,26.2,26.2,40100
4517,KW22,693.5,261.63,955.13,33.93,32.53,40100
484,KW22,645.9,460.81,1106.71,32.21,26.71,40100
576BTX,KW22,29.8,0.0,29.8,0.0,0.0,40100
577BTX,KW22,46.2,47.0,93.2,6.8,6.8,40100
585BTX,KW22,69.0,496.1,565.1,0.0,0.0,40100
588BTX,KW22,0.0,0.0,0.0,0.0,0.0,40100
590BTX,KW22,141.6,666.0,807.6,0.0,0.0,40100
594BTX,KW22,77.3,0.0,77.3,0.0,0.0,40100
595BTX,KW22,38.0,0.0,38.0,19.0,0.0,40100
6667,KW22,852.3,150.35,1002.65,1.05,1.05,40100
700,KW22,706.4,598.75,1305.15,17.35,17.15,40100
7846,KW22,452.6,336.4,789.0,24.9,15.7,40100
8464,KW22,613.8,294.4,908.2,16.4,1.0,40100
9046,KW22,616.1,360.2,976.3,12.7,12.7,40100
9828,KW22,374.5,276.0,650.5,0.0,0.0,40100
9892,KW22,569.4,215.0,784.4,11.0,5.0,40100
