Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
135CTX,KW19,308.1,150.39,458.49,9.09,4.19,40100
432ATX,KW19,671.9,275.8,947.7,20.7,7.7,40100
4517,KW19,262.5,73.8,336.3,0.9,0.9,40100
484,KW19,867.2,768.1,1635.3,49.8,37.2,40100
577BTX,KW19,91.2,303.9,395.1,14.3,12.0,40100
585BTX,KW19,77.0,252.6,329.6,0.0,0.0,40100
588BTX,KW19,29.0,0.0,29.0,0.0,0.0,40100
590BTX,KW19,716.1,702.8,1418.9,11.1,11.1,40100
594BTX,KW19,84.0,0.0,84.0,5.0,0.0,40100
6667,KW19,832.4,402.87,1235.27,3.37,3.37,40100
700,KW19,420.1,510.24,930.34,8.94,7.34,40100
7846,KW19,527.7,472.97,1000.67,15.67,14.07,40100
8464,KW19,539.4,333.3,872.7,39.0,39.0,40100
9046,KW19,695.4,406.7,1102.1,3.8,3.8,40100
9828,KW19,650.8,123.0,773.8,0.0,0.0,40100
9892,KW19,358.0,66.8,424.8,8.0,3.0,40100
