Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
432ATX ,KW14,431.8,360.5,792.3,12.3,12.3,40100
4517 ,KW14,483.0,132.4,615.4,12.3,0.0,40100
484 ,KW14,686.4,522.7,1209.1,33.2,14.1,40100
576BTX ,KW14,13.5,0.0,13.5,0.0,0.0,40100
577BTX ,KW14,322.0,120.59,442.59,11.89,10.79,40100
585BTX ,KW14,211.0,362.1,573.1,0.0,0.0,40100
588BTX ,KW14,0.0,0.0,0.0,0.0,0.0,40100
590BTX ,KW14,889.2,551.56,1440.76,10.06,6.06,40100
6667 ,KW14,724.7,298.9,1023.6,0.0,0.0,40100
700 ,KW14,739.6,542.2,1281.8,25.0,19.0,40100
7846 ,KW14,516.0,428.21,944.21,22.51,13.61,40100
8036 ,KW14,236.5,111.1,347.6,0.0,0.0,40100
8464 ,KW14,505.1,366.3,871.4,8.8,7.6,40100
9046 ,KW14,894.6,369.2,1263.8,16.2,16.2,40100
9828 ,KW14,331.0,213.6,544.6,0.0,0.0,40100
9892 ,KW14,0.0,0.0,0.0,0.0,0.0,40100
