Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
432ATX,KW16,346.9,238.6,585.5,11.1,11.1,40100
4517,KW16,471.1,118.6,589.7,15.3,4.0,40100
484,KW16,591.6,454.8,1046.4,13.2,6.0,40100
577BTX,KW16,753.9,131.0,884.9,11.2,6.4,40100
585BTX,KW16,79.0,413.7,492.7,0.0,0.0,40100
590BTX,KW16,914.8,452.97,1367.77,5.47,-0.03,40100
594BTX,KW16,35.0,0.0,35.0,20.0,0.0,40100
6667,KW16,766.2,235.7,1001.9,0.0,0.0,40100
700,KW16,528.0,547.0,1075.0,17.0,14.0,40100
7846,KW16,651.6,430.04,1081.64,19.24,12.24,40100
8464,KW16,498.1,159.0,657.1,5.6,1.4,40100
9046,KW16,649.6,399.0,1048.6,9.4,9.4,40100
9828,KW16,384.0,135.2,519.2,0.0,0.0,40100
9892,KW16,360.5,165.0,525.5,9.6,2.6,40100
