Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
7846,KW20,430.3,76.58,506.88,6.98,3.18,40100
7846,KW21,401.3,325.1,726.4,17.6,10.6,40100
7846,KW22,170.0,192.7,362.7,11.5,6.3,40100
8464,KW14,440.9,397.3,838.2,6.8,5.6,40100
8464,KW15,481.0,386.2,867.2,4.3,0.0,40100
8464,KW16,498.1,159.0,657.1,5.6,1.4,40100
8464,KW17,484.6,228.8,713.4,24.0,13.0,40100
8464,KW18,512.1,404.65,916.75,9.65,6.65,40100
8464,KW19,539.4,333.3,872.7,39.0,39.0,40100
8464,KW20,285.8,321.4,607.2,9.6,9.6,40100
8464,KW21,461.6,203.5,665.1,1.8,0.0,40100
8464,KW22,362.6,116.2,478.8,13.4,1.0,40100
9046,KW14,694.8,331.2,1026.0,16.2,16.2,40100
9046,KW15,659.8,466.2,1126.0,11.2,10.2,40100
9046,KW16,649.6,399.0,1048.6,9.4,9.4,40100
9046,KW17,696.4,533.9,1230.3,15.0,15.0,40100
9046,KW18,827.4,428.1,1255.5,24.9,19.3,40100
9046,KW19,695.4,406.7,1102.1,3.8,3.8,40100
9046,KW20,1224.2,227.4,1451.6,12.8,12.8,40100
9046,KW21,835.6,476.5,1312.1,19.0,19.0,40100
9046,KW22,169.6,186.9,356.5,7.0,7.0,40100
9828,KW14,299.4,214.8,514.2,0.0,0.0,40100
9828,KW15,294.8,198.5,493.3,0.0,0.0,40100
9828,KW16,384.0,135.2,519.2,0.0,0.0,40100
9828,KW17,337.8,169.2,507.0,0.0,0.0,40100
9828,KW18,289.2,193.9,483.1,0.0,0.0,40100
9828,KW19,650.8,123.0,773.8,0.0,0.0,40100
9828,KW20,247.6,233.0,480.6,0.0,0.0,40100
9828,KW21,382.8,165.6,548.4,0.0,0.0,40100
9828,KW22,140.0,148.0,288.0,0.0,0.0,40100
9892,KW14,0.0,0.0,0.0,0.0,0.0,40100
9892,KW15,121.9,100.3,222.2,2.6,2.6,40100
9892,KW16,360.5,165.0,525.5,9.6,2.6,40100
9892,KW17,335.3,78.4,413.7,4.4,4.0,40100
9892,KW18,97.1,67.0,164.1,4.4,3.0,40100
9892,KW19,358.0,66.8,424.8,8.0,3.0,40100
9892,KW20,267.3,339.0,606.3,3.0,3.0,40100
9892,KW21,502.3,134.7,637.0,8.0,8.0,40100
9892,KW22,164.8,100.0,264.8,3.0,3.0,40100
